Id,Gender,Age,daily routine,Living Environment,Cooking at Home,pet owner,Smoking,Sociable,hobbies & activities,communication method,important roommate qualities,study habits,physical exercise
3002,Male,19,Balanced Throughout the Day,Lively,Occasionally,no,Non-Smoker,Open to Socializing,"Sports, Music, Outdoor Activities",Text,Friendly,collaborative,Occasionally (1-2 times a month)
3003,Male,19,Night Owl,Balanced,Rarely,yes,Smoker,Prefer Privacy,"Sports, Music, Movies/TV, Gaming",In-person,Respectful,collaborative,Regularly (1-2 times a week)
3004,Female,18,Early Riser,Quiet,Regularly,no,Non-Smoker,Open to Socializing,"Reading, Movies/TV",In-person,Respectful,quiet and focused,Regularly (1-2 times a week)
3005,Male,18,Balanced Throughout the Day,Balanced,Rarely,no,Non-Smoker,Open to Socializing,"Sports, Movies/TV, Outdoor Activities",In-person,Respectful,quiet and focused,Occasionally (1-2 times a month)
3006,Female,19,Balanced Throughout the Day,Quiet,Regularly,no,Non-Smoker,Open to Socializing,Reading,In-person,Cleanliness,quiet and focused,Rarely (once a month or less)
3007,Male,19,Balanced Throughout the Day,Quiet,Rarely,yes,Non-Smoker,Open to Socializing,Outdoor Activities,Text,Cleanliness,quiet and focused,Rarely (once a month or less)
3008,Male,< 18,Night Owl,Balanced,Regularly,no,Smoker,Prefer Privacy,Outdoor Activities,Text,Friendly,quiet and focused,Rarely (once a month or less)
3009,Female,19,Early Riser,Balanced,Occasionally,no,Non-Smoker,Prefer Privacy,"Reading, Music, Movies/TV",In-person,Respectful,quiet and focused,Rarely (once a month or less)
3010,Male,18,Night Owl,Quiet,Regularly,yes,Non-Smoker,Prefer Privacy,"Music, Movies/TV, Gaming",Text,Cleanliness,prefer background noise,Occasionally (1-2 times a month)
3011,Male,20,Night Owl,Quiet,Occasionally,no,Non-Smoker,Open to Socializing,"Sports, Movies/TV",In-person,Cleanliness,collaborative,Regularly (1-2 times a week)
3012,Female,18,Early Riser,Quiet,Rarely,no,Non-Smoker,Prefer Privacy,Reading,In-person,Respectful,quiet and focused,Never
3013,Female,18,Night Owl,Lively,Rarely,no,Non-Smoker,Prefer Privacy,"Reading, Sports, Outdoor Activities, Gaming",In-person,Respectful,collaborative,Regularly (1-2 times a week)
3014,Male,18,Balanced Throughout the Day,Lively,Occasionally,no,Non-Smoker,Open to Socializing,"Reading, Sports, Outdoor Activities",In-person,Cleanliness,prefer background noise,Regularly (1-2 times a week)
3015,Female,19,Early Riser,Balanced,Rarely,no,Non-Smoker,Open to Socializing,"Reading, Music, Movies/TV",In-person,Cleanliness,quiet and focused,Occasionally (1-2 times a month)
3016,Male,< 18,Night Owl,Balanced,Regularly,no,Smoker,Open to Socializing,"Sports, Music, Movies/TV, Outdoor Activities, Gaming",Text,Friendly,collaborative,Frequently (3-4 times a week)
3017,Female,19,Early Riser,Balanced,Occasionally,no,Non-Smoker,Open to Socializing,Reading,In-person,Friendly,quiet and focused,Regularly (1-2 times a week)
3018,Male,19,Balanced Throughout the Day,Balanced,Rarely,yes,Non-Smoker,Prefer Privacy,"Sports, Outdoor Activities, Gaming",Text,Cleanliness,prefer background noise,Rarely (once a month or less)
3019,Female,19,Balanced Throughout the Day,Lively,Rarely,no,Non-Smoker,Open to Socializing,"Reading, Sports, Music, Movies/TV, Outdoor Activities, Gaming",In-person,Respectful,prefer background noise,Very frequently (5 or more times a week)
3020,Male,19,Early Riser,Balanced,Rarely,no,Non-Smoker,Prefer Privacy,"Sports, Gaming",In-person,Responsible,prefer background noise,Frequently (3-4 times a week)
3021,Female,19,Early Riser,Balanced,Regularly,yes,Non-Smoker,Prefer Privacy,Music,In-person,Respectful,quiet and focused,Regularly (1-2 times a week)
3022,Male,< 18,Night Owl,Quiet,Rarely,no,Non-Smoker,Open to Socializing,"Reading, Sports, Music, Movies/TV, Outdoor Activities, Gaming",In-person,Respectful,quiet and focused,Very frequently (5 or more times a week)
3023,Female,18,Balanced Throughout the Day,Balanced,Regularly,no,Non-Smoker,Prefer Privacy,"Reading, Sports, Music, Movies/TV, Outdoor Activities",In-person,Friendly,collaborative,Rarely (once a month or less)
3024,Male,20,Night Owl,Quiet,Occasionally,yes,Non-Smoker,Prefer Privacy,"Reading, Sports, Music, Movies/TV, Outdoor Activities, Gaming",In-person,Cleanliness,quiet and focused,Frequently (3-4 times a week)
3025,Female,18,Balanced Throughout the Day,Quiet,Occasionally,no,Non-Smoker,Prefer Privacy,"Reading, Outdoor Activities",In-person,Cleanliness,quiet and focused,Occasionally (1-2 times a month)
3026,Female,< 18,Night Owl,Balanced,Rarely,no,Non-Smoker,Open to Socializing,"Reading, Outdoor Activities",In-person,Respectful,quiet and focused,Regularly (1-2 times a week)
3027,Male,< 18,Balanced Throughout the Day,Quiet,Rarely,no,Non-Smoker,Prefer Privacy,"Reading, Music, Movies/TV, Outdoor Activities, Gaming",In-person,Responsible,prefer background noise,Occasionally (1-2 times a month)
3028,Male,20,Night Owl,Quiet,Occasionally,no,Smoker,Prefer Privacy,"Music, Movies/TV, Outdoor Activities, Gaming",In-person,Cleanliness,quiet and focused,Never
3029,Female,20,Balanced Throughout the Day,Quiet,Occasionally,no,Non-Smoker,Prefer Privacy,Gaming,In-person,Respectful,quiet and focused,Never
3030,Male,19,Early Riser,Quiet,Occasionally,no,Non-Smoker,Prefer Privacy,"Music, Movies/TV, Gaming",Text,Friendly,quiet and focused,Regularly (1-2 times a week)
3031,Male,18,Early Riser,Quiet,Occasionally,yes,Non-Smoker,Prefer Privacy,Gaming,In-person,Quiet,quiet and focused,Frequently (3-4 times a week)
3032,Female,20,Night Owl,Balanced,Rarely,no,Non-Smoker,Prefer Privacy,"Sports, Music",In-person,Cleanliness,collaborative,Regularly (1-2 times a week)
3033,Female,18,Early Riser,Balanced,Regularly,yes,Non-Smoker,Prefer Privacy,Reading,In-person,Cleanliness,quiet and focused,Rarely (once a month or less)
3034,Female,19,Night Owl,Quiet,Regularly,yes,Non-Smoker,Prefer Privacy,"Reading, Music, Movies/TV",In-person,Cleanliness,quiet and focused,Rarely (once a month or less)
3035,Male,21,Night Owl,Lively,Regularly,yes,Smoker,Open to Socializing,"Sports, Gaming",In-person,Cleanliness,quiet and focused,Frequently (3-4 times a week)
3036,Female,18,Early Riser,Quiet,Regularly,no,Non-Smoker,Prefer Privacy,"Reading, Sports, Music, Gaming",Text,Cleanliness,collaborative,Occasionally (1-2 times a month)
3037,Male,19,Early Riser,Balanced,Rarely,no,Non-Smoker,Open to Socializing,"Reading, Movies/TV",In-person,Respectful,quiet and focused,Rarely (once a month or less)
3038,Female,< 18,Early Riser,Balanced,Rarely,yes,Non-Smoker,Prefer Privacy,"Reading, Sports",In-person,Cleanliness,prefer background noise,Rarely (once a month or less)
3039,Female,18,Night Owl,Balanced,Regularly,no,Non-Smoker,Prefer Privacy,"Sports, Music, Movies/TV",In-person,Friendly,quiet and focused,Regularly (1-2 times a week)
3040,Female,18,Balanced Throughout the Day,Balanced,Rarely,no,Non-Smoker,Open to Socializing,"Reading, Movies/TV, Outdoor Activities",In-person,Respectful,collaborative,Rarely (once a month or less)
3041,Female,21,Balanced Throughout the Day,Balanced,Occasionally,no,Non-Smoker,Open to Socializing,"Music, Movies/TV",Text,Friendly,quiet and focused,Rarely (once a month or less)
3042,Female,18,Balanced Throughout the Day,Lively,Regularly,no,Non-Smoker,Open to Socializing,"Reading, Movies/TV, Gaming",Text,Respectful,quiet and focused,Rarely (once a month or less)
3043,Female,19,Night Owl,Lively,Occasionally,no,Non-Smoker,Open to Socializing,Reading,In-person,Respectful,quiet and focused,Regularly (1-2 times a week)
3044,Female,18,Night Owl,Balanced,Occasionally,yes,Non-Smoker,Open to Socializing,"Music, Movies/TV, Outdoor Activities, Gaming",Text,Friendly,quiet and focused,Occasionally (1-2 times a month)
3045,Male,19,Night Owl,Quiet,Regularly,yes,Non-Smoker,Open to Socializing,"Sports, Music",In-person,Respectful,quiet and focused,Regularly (1-2 times a week)
3046,Female,20,Early Riser,Balanced,Regularly,no,Non-Smoker,Open to Socializing,"Movies/TV, Outdoor Activities, Gaming",In-person,Friendly,quiet and focused,Rarely (once a month or less)
3047,Male,22,Night Owl,Lively,Regularly,no,Non-Smoker,Prefer Privacy,"Sports, Movies/TV",In-person,Cleanliness,collaborative,Frequently (3-4 times a week)
3048,Male,18,Early Riser,Balanced,Regularly,no,Non-Smoker,Open to Socializing,"Sports, Outdoor Activities, Gaming",In-person,Friendly,collaborative,Regularly (1-2 times a week)
3049,Male,18,Balanced Throughout the Day,Balanced,Rarely,yes,Non-Smoker,Prefer Privacy,"Sports, Music, Movies/TV, Outdoor Activities, Gaming",In-person,Cleanliness,quiet and focused,Frequently (3-4 times a week)
3050,Female,20,Balanced Throughout the Day,Quiet,Rarely,yes,Non-Smoker,Open to Socializing,"Reading, Music, Movies/TV, Outdoor Activities, Gaming",In-person,Friendly,quiet and focused,Regularly (1-2 times a week)
3051,Female,18,Night Owl,Balanced,Regularly,no,Non-Smoker,Open to Socializing,"Sports, Movies/TV, Outdoor Activities",In-person,Friendly,quiet and focused,Rarely (once a month or less)
3052,Female,19,Early Riser,Balanced,Occasionally,no,Non-Smoker,Open to Socializing,"Music, Movies/TV",In-person,Respectful,quiet and focused,Never
3053,Male,19,Balanced Throughout the Day,Balanced,Occasionally,no,Non-Smoker,Prefer Privacy,"Sports, Movies/TV, Outdoor Activities",In-person,Cleanliness,quiet and focused,Regularly (1-2 times a week)
3054,Male,19,Early Riser,Balanced,Occasionally,yes,Smoker,Prefer Privacy,"Sports, Movies/TV, Gaming",Text,Cleanliness,quiet and focused,Regularly (1-2 times a week)
3055,Female,18,Balanced Throughout the Day,Balanced,Rarely,no,Non-Smoker,Open to Socializing,"Reading, Music, Movies/TV, Outdoor Activities, Gaming",In-person,Respectful,collaborative,Rarely (once a month or less)
3056,Female,20,Night Owl,Balanced,Occasionally,no,Non-Smoker,Prefer Privacy,"Sports, Music, Outdoor Activities",In-person,Cleanliness,quiet and focused,Frequently (3-4 times a week)
3057,Female,>22,Night Owl,Quiet,Occasionally,no,Non-Smoker,Prefer Privacy,"Music, Movies/TV",Text,Respectful,collaborative,Never
3058,Female,19,Night Owl,Balanced,Rarely,no,Non-Smoker,Open to Socializing,"Music, Movies/TV, Outdoor Activities",In-person,Cleanliness,prefer background noise,Rarely (once a month or less)
3059,Female,18,Balanced Throughout the Day,Quiet,Rarely,no,Non-Smoker,Open to Socializing,"Reading, Movies/TV",In-person,Responsible,quiet and focused,Never
3060,Female,20,Balanced Throughout the Day,Balanced,Regularly,no,Non-Smoker,Open to Socializing,"Sports, Outdoor Activities",In-person,Quiet,quiet and focused,Very frequently (5 or more times a week)
