Bedtime_Preference,Wake_Up_Time_Preference,Planned_Study_Time,Private_Time_Requirements,Guest_Frequency_Preference,Faculty,Attitude_towards_Roommate_Smoking,Ideal_Study_Environment_Description_encoded,Attitude_towards_Borrowing_Sharing,Description_of_Personal_Room_At_Home_encoded,Desired_Room_Attributes_encoded,Study_Time_Preference,Conflict_Handling_Method_encoded,Communication_Preference_with_Roommate,Age_normalized,id
1.0,4.0,2.0,1.0,1.0,1,2,2,0,0,0,1,3,0,1.0624844375404108,2
3.0,1.0,1.0,2.0,4.0,1,2,2,0,0,0,1,0,0,-0.5052159429226737,3
3.0,1.0,2.0,2.0,3.0,1,0,2,0,3,0,2,0,0,1.0624844375404108,4
3.0,0.0,3.0,0.0,2.0,1,2,2,0,0,0,0,0,0,0.2786342473088685,5
3.0,3.0,3.0,1.0,1.0,1,1,2,1,3,0,1,3,0,-0.5052159429226737,6
3.0,1.0,2.0,1.0,2.0,1,0,2,0,3,2,2,1,0,0.2786342473088685,7
3.0,3.0,0.0,2.0,2.0,1,2,2,1,0,1,2,2,0,0.2786342473088685,9
1.0,0.0,2.0,0.0,0.0,1,2,2,1,0,2,2,1,0,0.2786342473088685,10
1.0,1.0,0.0,1.0,2.0,1,1,2,0,0,0,2,2,0,-0.5052159429226737,11
1.0,3.0,2.0,2.0,1.0,1,0,2,0,3,2,2,2,0,0.2786342473088685,12
1.0,4.0,1.0,2.0,2.0,1,2,2,1,3,0,2,1,0,0.2786342473088685,13
3.0,3.0,3.0,2.0,0.0,1,0,0,0,3,2,0,1,0,-1.289066133154216,14
1.0,3.0,1.0,1.0,2.0,1,2,2,0,0,2,2,1,0,-0.5052159429226737,15
3.0,1.0,1.0,1.0,2.0,1,2,2,0,3,2,2,1,0,-0.5052159429226737,16
1.0,1.0,2.0,1.0,2.0,1,2,2,0,3,0,1,1,0,-0.5052159429226737,17
3.0,1.0,2.0,1.0,2.0,1,2,2,0,0,0,2,1,0,0.2786342473088685,18
1.0,1.0,3.0,1.0,2.0,1,2,2,0,3,0,2,2,0,-1.289066133154216,19
0.0,1.0,3.0,1.0,1.0,1,2,2,0,3,0,2,3,0,-0.5052159429226737,20
1.0,1.0,2.0,0.0,2.0,1,2,0,0,0,0,2,1,0,-0.5052159429226737,21
1.0,1.0,0.0,1.0,2.0,1,0,0,0,3,0,2,0,0,-0.5052159429226737,22
3.0,3.0,1.0,1.0,2.0,1,1,2,0,0,0,0,0,0,-0.5052159429226737,23
3.0,1.0,3.0,2.0,2.0,1,2,2,1,3,0,1,2,0,0.2786342473088685,24
2.0,4.0,2.0,2.0,2.0,1,0,2,2,2,0,2,3,0,0.2786342473088685,25
1.0,0.0,0.0,1.0,1.0,1,2,0,0,0,0,2,1,0,-1.289066133154216,26
3.0,3.0,3.0,1.0,2.0,1,0,0,0,3,0,2,0,0,0.2786342473088685,27
0.0,0.0,2.0,2.0,0.0,1,1,2,1,0,2,2,1,0,0.2786342473088685,28
3.0,3.0,3.0,2.0,3.0,1,1,1,0,3,0,1,1,0,0.2786342473088685,29
3.0,3.0,2.0,1.0,2.0,1,1,2,0,3,2,2,2,0,-1.289066133154216,30
0.0,1.0,1.0,1.0,1.0,1,2,2,0,3,2,2,0,0,-0.5052159429226737,31
3.0,3.0,3.0,2.0,1.0,1,2,2,0,0,0,2,2,0,0.2786342473088685,32
1.0,0.0,0.0,1.0,2.0,1,2,1,0,0,0,2,3,0,1.0624844375404108,33
0.0,0.0,0.0,1.0,2.0,1,0,2,2,3,0,2,0,0,1.0624844375404108,34
3.0,3.0,3.0,2.0,2.0,1,1,2,1,3,0,2,1,0,-0.5052159429226737,35
