Concern_Obnoxious,Concern_LoudMusicTV,Concern_LoudWhenStudyingSleeping,Concern_EatingMyFood,Concern_NotPickingUpAfterThemselves,Concern_Unfriendly,Concern_LackOfRespect,Concern_NotOpenMinded,Concern_BadHygiene,Concern_UsingMyThings,Concern_GuestsOverTooMuch,Concern_Messy,Bedtime_Preference,Wake_Up_Time_Preference,Planned_Study_Time,Private_Time_Requirements,Guest_Frequency_Preference,Gender,Faculty,Religion,Parents_Abroad,Living_with_Parents,Do_you_smoke,Attitude_towards_Roommate_Smoking,Preferred_Roommate_Relationship_Type_encoded,Ideal_Study_Environment_Description_encoded,Attitude_towards_Borrowing_Sharing,Description_of_Personal_Room_At_Home_encoded,Desired_Room_Attributes_encoded,Expected_Study_Time_Preference_encoded,Study_Time_Preference,Conflict_Handling_Method_encoded,Communication_Preference_with_Roommate,Age_normalized
0,0,0,0,0,0,0,0,0,0,0,1,1.0,4.0,2.0,1.0,1.0,1,1,1,0,1,0,2,1,2,0,0,0,1,1,3,0,1.0624844375404108
0,0,0,0,1,0,1,0,1,1,0,0,3.0,1.0,1.0,2.0,4.0,0,1,1,1,0,0,2,0,2,0,0,0,1,1,0,0,-0.5052159429226737
1,1,0,0,1,0,1,0,0,0,0,0,3.0,1.0,2.0,2.0,3.0,0,1,1,0,1,0,0,1,2,0,3,0,1,2,0,0,1.0624844375404108
1,0,0,0,1,1,1,0,0,0,0,0,3.0,0.0,3.0,0.0,2.0,0,1,1,0,1,0,2,1,2,0,0,0,1,0,0,0,0.27863424730886854
1,0,0,0,1,0,1,0,0,0,0,1,3.0,3.0,3.0,1.0,1.0,0,1,1,0,1,0,1,0,2,1,3,0,0,1,3,0,-0.5052159429226737
0,0,1,1,1,0,1,0,0,0,0,0,3.0,1.0,2.0,1.0,2.0,1,1,1,0,1,0,0,1,2,0,3,2,1,2,1,0,0.27863424730886854
1,0,1,0,0,1,0,0,0,1,0,0,3.0,3.0,2.0,2.0,2.0,0,1,1,0,1,0,2,1,2,1,3,0,1,1,0,0,1.846334627771953
0,0,1,0,1,0,0,0,1,1,0,0,3.0,3.0,0.0,2.0,2.0,1,1,1,1,0,2,2,1,2,1,0,1,2,2,2,0,0.27863424730886854
1,0,0,0,1,0,1,0,0,1,0,0,1.0,0.0,2.0,0.0,0.0,0,1,1,0,1,0,2,1,2,1,0,2,0,2,1,0,0.27863424730886854
0,0,1,0,1,1,1,0,0,0,0,0,1.0,1.0,0.0,1.0,2.0,1,1,1,1,1,0,1,1,2,0,0,0,0,2,2,0,-0.5052159429226737
