Bedtime_Preference,Wake_Up_Time_Preference,Planned_Study_Time_Preference,Private_Time_Requirements,Guest_Frequency_Preference,Faculty,Attitude_towards_Roommate_Smoking,Ideal_Study_Environment_Description,Attitude_towards_Borrowing_Sharing,Description_of_Personal_Room_At_Home,Desired_Room_Attributes,Study_Time_Preference,Conflict_Handling_Method,Communication_Preference_with_Roommate,Age,id,cluster_label
Around midnight,As late as possible,Evening,Some,Rarely,Computer Science,Yes,Very quiet,Ask before sharing,Clean and organized,Social & quiet,No preference,Hint jokingly,Face-to-face,21,2,0.0
After midnight,Somewhat early,Afternoon,Significant,Frequently,Computer Science,Yes,Very quiet,Ask before sharing,Clean and organized,Social & quiet,No preference,Avoid conflict,Face-to-face,19,3,0.0
After midnight,Somewhat early,Evening,Significant,Often,Computer Science,Maybe,Very quiet,Ask before sharing,Neat,Social & quiet,Total quiet,Avoid conflict,Face-to-face,21,4,0.0
After midnight,Very early,Late night,Very little,Sometimes,Computer Science,Yes,Very quiet,Ask before sharing,Clean and organized,Social & quiet,Background noise,Avoid conflict,Face-to-face,20,5,0.0
After midnight,Late,Late night,Some,Rarely,Computer Science,No,Very quiet,Prefer personal items,Neat,Social & quiet,No preference,Hint jokingly,Face-to-face,19,6,0.0
After midnight,Somewhat early,Evening,Some,Sometimes,Computer Science,Maybe,Very quiet,Ask before sharing,Neat,Study oriented,Total quiet,Blunt,Face-to-face,20,7,0.0
After midnight,Late,Evening,Significant,Sometimes,Computer Science,Yes,Very quiet,Prefer personal items,Neat,Social & quiet,No preference,Avoid conflict,Face-to-face,22,8,
After midnight,Late,Morning,Significant,Sometimes,Computer Science,Yes,Very quiet,Prefer personal items,Clean and organized,Social gathering,Total quiet,Calm,Face-to-face,20,9,0.0
Around midnight,Very early,Evening,Very little,Never,Computer Science,Yes,Very quiet,Prefer personal items,Clean and organized,Study oriented,Total quiet,Blunt,Face-to-face,20,10,0.0
Around midnight,Somewhat early,Morning,Some,Sometimes,Computer Science,No,Very quiet,Ask before sharing,Clean and organized,Social & quiet,Total quiet,Calm,Face-to-face,19,11,0.0
Around midnight,Late,Evening,Significant,Rarely,Computer Science,Maybe,Very quiet,Ask before sharing,Neat,Study oriented,Total quiet,Calm,Face-to-face,20,12,0.0
Around midnight,As late as possible,Afternoon,Significant,Sometimes,Computer Science,Yes,Very quiet,Prefer personal items,Neat,Social & quiet,Total quiet,Blunt,Face-to-face,20,13,0.0
After midnight,Late,Late night,Significant,Never,Computer Science,Maybe,Background noise,Ask before sharing,Neat,Study oriented,Background noise,Blunt,Face-to-face,18,14,0.0
Around midnight,Late,Afternoon,Some,Sometimes,Computer Science,Yes,Very quiet,Ask before sharing,Clean and organized,Study oriented,Total quiet,Blunt,Face-to-face,19,15,0.0
After midnight,Somewhat early,Afternoon,Some,Sometimes,Computer Science,Yes,Very quiet,Ask before sharing,Neat,Study oriented,Total quiet,Blunt,Face-to-face,19,16,0.0
Around midnight,Somewhat early,Evening,Some,Sometimes,Computer Science,Yes,Very quiet,Ask before sharing,Neat,Social & quiet,No preference,Blunt,Face-to-face,19,17,0.0
After midnight,Somewhat early,Evening,Some,Sometimes,Computer Science,Yes,Very quiet,Ask before sharing,Clean and organized,Social & quiet,Total quiet,Blunt,Face-to-face,20,18,0.0
Around midnight,Somewhat early,Late night,Some,Sometimes,Computer Science,Yes,Very quiet,Ask before sharing,Neat,Social & quiet,Total quiet,Calm,Face-to-face,18,19,0.0
Before midnight,Somewhat early,Late night,Some,Rarely,Computer Science,Yes,Very quiet,Ask before sharing,Neat,Social & quiet,Total quiet,Hint jokingly,Face-to-face,19,20,0.0
Around midnight,Somewhat early,Evening,Very little,Sometimes,Computer Science,Yes,Background noise,Ask before sharing,Clean and organized,Social & quiet,Total quiet,Blunt,Face-to-face,19,21,0.0
Around midnight,Somewhat early,Morning,Some,Sometimes,Computer Science,Maybe,Background noise,Ask before sharing,Neat,Social & quiet,Total quiet,Avoid conflict,Face-to-face,19,22,0.0
After midnight,Late,Afternoon,Some,Sometimes,Computer Science,No,Very quiet,Ask before sharing,Clean and organized,Social & quiet,Background noise,Avoid conflict,Face-to-face,19,23,0.0
