Description_of_Personal_Room_At_Home,Bedtime_Preference,Wake_Up_Time_Preference,Planned_Study_Time_Preference,Private_Time_Requirements,Guest_Frequency_Preference,Conflict_Handling_Method,Age_encoded,Faculty_encoded,Attitude_towards_Roommate_Smoking_encoded,Study_Time_Preference_encoded,Communication_Preference_with_Roommate_encoded,Age_normalized,cluster_label
3.0,1.0,4.0,2.0,1.0,1.0,0.0,4,2,2,0,0,1.0624844375404108,0
3.0,3.0,1.0,1.0,2.0,4.0,1.0,2,2,2,0,0,-0.5052159429226737,0
2.0,3.0,1.0,2.0,2.0,3.0,1.0,4,2,0,2,0,1.0624844375404108,0
3.0,3.0,0.0,3.0,0.0,2.0,1.0,3,2,2,1,0,0.2786342473088685,0
2.0,3.0,3.0,3.0,1.0,1.0,0.0,2,2,1,0,0,-0.5052159429226737,0
2.0,3.0,1.0,2.0,1.0,2.0,2.0,3,2,0,2,0,0.2786342473088685,0
3.0,3.0,3.0,0.0,2.0,2.0,3.0,3,2,2,2,0,0.2786342473088685,0
3.0,1.0,0.0,2.0,0.0,0.0,2.0,3,2,2,2,0,0.2786342473088685,0
3.0,1.0,1.0,0.0,1.0,2.0,3.0,2,2,1,2,0,-0.5052159429226737,0
2.0,1.0,3.0,2.0,2.0,1.0,3.0,3,2,0,2,0,0.2786342473088685,0
2.0,1.0,4.0,1.0,2.0,2.0,2.0,3,2,2,2,0,0.2786342473088685,0
2.0,3.0,3.0,3.0,2.0,0.0,2.0,1,2,0,1,0,-1.289066133154216,0
3.0,1.0,3.0,1.0,1.0,2.0,2.0,2,2,2,2,0,-0.5052159429226737,0
2.0,3.0,1.0,1.0,1.0,2.0,2.0,2,2,2,2,0,-0.5052159429226737,0
2.0,1.0,1.0,2.0,1.0,2.0,2.0,2,2,2,0,0,-0.5052159429226737,0
3.0,3.0,1.0,2.0,1.0,2.0,2.0,3,2,2,2,0,0.2786342473088685,0
2.0,1.0,1.0,3.0,1.0,2.0,3.0,1,2,2,2,0,-1.289066133154216,0
2.0,0.0,1.0,3.0,1.0,1.0,0.0,2,2,2,2,0,-0.5052159429226737,0
3.0,1.0,1.0,2.0,0.0,2.0,2.0,2,2,2,2,0,-0.5052159429226737,0
2.0,1.0,1.0,0.0,1.0,2.0,1.0,2,2,0,2,0,-0.5052159429226737,0
3.0,3.0,3.0,1.0,1.0,2.0,1.0,2,2,1,1,0,-0.5052159429226737,0
2.0,3.0,1.0,3.0,2.0,2.0,3.0,3,2,2,0,0,0.2786342473088685,0
0.0,2.0,4.0,2.0,2.0,2.0,0.0,3,2,0,2,0,0.2786342473088685,0
3.0,1.0,0.0,0.0,1.0,1.0,2.0,1,2,2,2,0,-1.289066133154216,0
2.0,3.0,3.0,3.0,1.0,2.0,1.0,3,2,0,2,0,0.2786342473088685,0
3.0,0.0,0.0,2.0,2.0,0.0,2.0,3,2,1,2,0,0.2786342473088685,0
2.0,3.0,3.0,3.0,2.0,3.0,2.0,3,2,1,0,0,0.2786342473088685,0
2.0,3.0,3.0,2.0,1.0,2.0,3.0,1,2,1,2,0,-1.289066133154216,0
2.0,0.0,1.0,1.0,1.0,1.0,1.0,2,2,2,2,0,-0.5052159429226737,0
3.0,3.0,3.0,3.0,2.0,1.0,3.0,3,2,2,2,0,0.2786342473088685,0
3.0,1.0,0.0,0.0,1.0,2.0,0.0,4,2,2,2,0,1.0624844375404108,0
2.0,0.0,0.0,0.0,1.0,2.0,1.0,4,2,0,2,0,1.0624844375404108,0
2.0,3.0,3.0,3.0,2.0,2.0,2.0,2,2,1,2,0,-0.5052159429226737,0
3.0,1.0,1.0,0.0,1.0,2.0,1.0,2,2,0,2,0,-0.5052159429226737,0
1.0,1.0,4.0,3.0,1.0,3.0,3.0,1,2,1,0,0,-1.289066133154216,0
2.0,1.0,1.0,0.0,1.0,2.0,3.0,2,2,1,1,0,-0.5052159429226737,0
2.0,3.0,1.0,3.0,1.0,2.0,1.0,2,2,2,0,0,-0.5052159429226737,0
3.0,1.0,1.0,1.0,2.0,0.0,2.0,2,2,2,0,0,-0.5052159429226737,0
3.0,3.0,1.0,1.0,1.0,2.0,3.0,1,2,0,1,0,-1.289066133154216,0
1.0,1.0,1.0,0.0,1.0,1.0,0.0,1,5,1,2,0,-1.289066133154216,1
2.0,1.0,1.0,2.0,2.0,2.0,2.0,1,2,1,2,2,-1.289066133154216,0
3.0,0.0,1.0,0.0,1.0,1.0,3.0,1,2,2,2,0,-1.289066133154216,0
2.0,1.0,1.0,3.0,2.0,1.0,2.0,3,2,2,1,0,0.2786342473088685,0
1.0,1.0,0.0,2.0,2.0,3.0,3.0,1,2,0,2,0,-1.289066133154216,0
1.0,1.0,3.0,3.0,1.0,2.0,2.0,1,2,1,0,0,-1.289066133154216,0
2.0,0.0,0.0,0.0,1.0,2.0,2.0,2,2,0,0,0,-0.5052159429226737,0
3.0,3.0,1.0,0.0,1.0,2.0,3.0,2,2,1,2,0,-0.5052159429226737,0
2.0,2.0,1.0,2.0,2.0,3.0,0.0,1,2,1,0,0,-1.289066133154216,0
0.0,2.0,2.0,3.0,0.0,3.0,1.0,3,2,1,1,0,0.2786342473088685,0
